classifier_name,dataset_name,accuracy
SAX-DR,MedicalImages,0.4631578947368421
SAX_VFD,MedicalImages,0.4118421052631579
SFA,MedicalImages,0.5802631578947368
SPARTAN,MedicalImages,0.6355263157894737
TFSAX,MedicalImages,0.506578947368421
1d-SAX,MelbournePedestrian,0.5444854448544485
ESAX,MelbournePedestrian,0.5219352193521936
SAX,MelbournePedestrian,0.6043460434604346
SAX-DR,MelbournePedestrian,0.4961049610496105
SAX_VFD,MelbournePedestrian,0.3657236572365723
SFA,MelbournePedestrian,0.7457974579745797
SPARTAN,MelbournePedestrian,0.7908979089790897
TFSAX,MelbournePedestrian,0.6326363263632636
1d-SAX,MiddlePhalanxOutlineAgeGroup,0.525974025974026
ESAX,MiddlePhalanxOutlineAgeGroup,0.448051948051948
SAX,MiddlePhalanxOutlineAgeGroup,0.4090909090909091
SAX-DR,MiddlePhalanxOutlineAgeGroup,0.3571428571428571
SAX_VFD,MiddlePhalanxOutlineAgeGroup,0.435064935064935
SFA,MiddlePhalanxOutlineAgeGroup,0.5324675324675324
SPARTAN,MiddlePhalanxOutlineAgeGroup,0.4805194805194805
TFSAX,MiddlePhalanxOutlineAgeGroup,0.551948051948052
1d-SAX,MiddlePhalanxOutlineCorrect,0.6151202749140894
ESAX,MiddlePhalanxOutlineCorrect,0.6288659793814433
SAX,MiddlePhalanxOutlineCorrect,0.6323024054982818
SAX-DR,MiddlePhalanxOutlineCorrect,0.5223367697594502
SAX_VFD,MiddlePhalanxOutlineCorrect,0.4845360824742268
SFA,MiddlePhalanxOutlineCorrect,0.6357388316151202
SPARTAN,MiddlePhalanxOutlineCorrect,0.6391752577319587
TFSAX,MiddlePhalanxOutlineCorrect,0.5876288659793815
1d-SAX,MiddlePhalanxTW,0.3896103896103896
ESAX,MiddlePhalanxTW,0.5064935064935064
SAX,MiddlePhalanxTW,0.3116883116883117
SAX-DR,MiddlePhalanxTW,0.4155844155844156
SAX_VFD,MiddlePhalanxTW,0.4805194805194805
SFA,MiddlePhalanxTW,0.487012987012987
SPARTAN,MiddlePhalanxTW,0.448051948051948
TFSAX,MiddlePhalanxTW,0.435064935064935
1d-SAX,MixedShapesRegularTrain,0.8037113402061856
ESAX,MixedShapesRegularTrain,0.7072164948453609
SAX,MixedShapesRegularTrain,0.8111340206185567
SAX-DR,MixedShapesRegularTrain,0.7616494845360825
SAX_VFD,MixedShapesRegularTrain,0.657319587628866
SFA,MixedShapesRegularTrain,0.8404123711340206
SPARTAN,MixedShapesRegularTrain,0.8503092783505155
TFSAX,MixedShapesRegularTrain,0.8214432989690722
1d-SAX,MixedShapesSmallTrain,0.7637113402061856
ESAX,MixedShapesSmallTrain,0.6255670103092783
SAX,MixedShapesSmallTrain,0.7628865979381443
SAX-DR,MixedShapesSmallTrain,0.705979381443299
