dataset,method,tlb
SemgHandSubjectCh2,SFA,0.0751324724330594
FiftyWords,SFA,0.251970606951053
ChlorineConcentration,SFA,0.138103987377424
SwedishLeaf,SFA,0.20873691584234
MixedShapesRegularTrain,SFA,0.2671583099282626
ECG5000,SFA,0.1834573779166627
EthanolLevel,SFA,0.1354493415114562
PLAID,SFA,0.1574802572678259
FaceAll,SFA,0.0606216976623812
DistalPhalanxOutlineCorrect,SFA,0.1779640138122132
MiddlePhalanxOutlineCorrect,SFA,0.1727578975373379
ProximalPhalanxOutlineCorrect,SFA,0.1791483222492835
ShapesAll,SFA,0.2569907178206264
Strawberry,SFA,0.1864665708676061
UWaveGestureLibraryAll,SFA,0.1964566651112384
UWaveGestureLibraryX,SFA,0.278200082388655
UWaveGestureLibraryY,SFA,0.3198687924396186
UWaveGestureLibraryZ,SFA,0.2814856034196721
HandOutlines,SFA,0.1180480680356739
TwoPatterns,SFA,0.2022636685428992
Wafer,SFA,0.2540807766084769
StarLightCurves,SFA,0.3108600294907497
MelbournePedestrian,SFA,0.2394484724259501
PhalangesOutlinesCorrect,SFA,0.174658639613093
NonInvasiveFetalECGThorax1,SFA,0.1838587967501438
NonInvasiveFetalECGThorax2,SFA,0.1619496477539685
FordA,SFA,0.0094163213788131
FordB,SFA,0.0086800922448089
Crop,SFA,0.2854555467309645
ElectricDevices,SFA,0.1006844148984442
DiatomSizeReduction,SAX,0.0147919974393448
InsectEPGSmallTrain,SAX,0.319522957755501
Fungi,SAX,0.1686430195858983
BeetleFly,SAX,0.2527817858129758
BirdChicken,SAX,0.3107801968641511
Rock,SAX,0.1979441374934472
DodgerLoopGame,SAX,0.1262714644681715
DodgerLoopWeekend,SAX,0.1262714644681715
ShapeletSim,SAX,0.005
Chinatown,SAX,0.0203859508642726
SonyAIBORobotSurface1,SAX,0.0572743300523356
MoteStrain,SAX,0.1503177826246837
ECGFiveDays,SAX,0.0090059051487383
TwoLeadECG,SAX,0.0283047116768705
FaceFour,SAX,0.0215594997904302
Symbols,SAX,0.2747563182131007
SonyAIBORobotSurface2,SAX,0.0725222367462662
Coffee,SAX,0.0178571428571428
FreezerSmallTrain,SAX,0.2064148925769351
Beef,SAX,0.1227112155889928
OliveOil,SAX,0.0166666666666666
BME,SAX,0.3357785004326558
CBF,SAX,0.2233861947214348
ToeSegmentation2,SAX,0.3097471577784398
UMD,SAX,0.3068374133827954
ArrowHead,SAX,0.0664755491202989
HouseTwenty,SAX,0.2033765354114697
ToeSegmentation1,SAX,0.2931587774948067
CinCECGTorso,SAX,0.1475323365671957
PickupGestureWiimoteZ,SAX,0.2835936120095827
ShakeGestureWiimoteZ,SAX,0.2364936755279807
GunPoint,SAX,0.2116036087931403
Mallat,SAX,0.0004166666666666
Wine,SAX,0.009009009009009
Car,SAX,0.0465501661137683
Meat,SAX,0.0083333333333333
Lightning2,SAX,0.127573352483147
InsectEPGRegularTrain,SAX,0.3160408317585932
Herring,SAX,0.0115580660887476
ItalyPowerDemand,SAX,0.1213004734213292
Lightning7,SAX,0.1415566550293057
DodgerLoopDay,SAX,0.1262714644681715
ACSF1,SAX,0.005
ECG200,SAX,0.1698031957186214
Trace,SAX,0.289092208030746
InlineSkate,SAX,0.2117676456360473
MixedShapesSmallTrain,SAX,0.2926782601396568
PigAirwayPressure,SAX,0.3161853833788525
PigArtPressure,SAX,0.006919664884578
PigCVP,SAX,0.2004768276925994
Plane,SAX,0.0600053509690208
Ham,SAX,0.0199727528651334
GesturePebbleZ1,SAX,0.2167491469780849
GunPointAgeSpan,SAX,0.260196748988421
GunPointMaleVersusFemale,SAX,0.260196748988421
GunPointOldVersusYoung,SAX,0.260196748988421
GesturePebbleZ2,SAX,0.2167491469780849
SmoothSubspace,SAX,0.4059562856267247
FreezerRegularTrain,SAX,0.2061497656414506
Haptics,SAX,0.0703943201081136
Fish,SAX,0.0048549467413553
PowerCons,SAX,0.2235996452789592
Worms,SAX,0.2883969428528328
