method,metric,dataset,acc
SAX,cosine_similarity,DistalPhalanxOutlineAgeGroup,0.6187050359712231
SAX,cosine_similarity,DistalPhalanxOutlineCorrect,0.644927536231884
SAX,cosine_similarity,DistalPhalanxTW,0.5323741007194245
SAX,cosine_similarity,DodgerLoopDay,0.175
SAX,cosine_similarity,DodgerLoopGame,0.6014492753623188
SAX,cosine_similarity,DodgerLoopWeekend,0.6884057971014492
SAX,cosine_similarity,Earthquakes,0.697841726618705
SAX,cosine_similarity,ECG200,0.68
SAX,cosine_similarity,ECG5000,0.8266666666666667
SAX,cosine_similarity,ECGFiveDays,0.7619047619047619
SAX,cosine_similarity,ElectricDevices,0.6066658021008948
SAX,cosine_similarity,EOGHorizontalSignal,0.0883977900552486
SAX,cosine_similarity,EOGVerticalSignal,0.074585635359116
SAX,cosine_similarity,EthanolLevel,0.254
SAX,cosine_similarity,FaceAll,0.5
SAX,cosine_similarity,FaceFour,0.4886363636363636
SAX,cosine_similarity,FacesUCR,0.5239024390243903
SAX,cosine_similarity,FiftyWords,0.2329670329670329
SAX,cosine_similarity,Fish,0.4285714285714285
SAX,cosine_similarity,FordA,0.775
SAX,cosine_similarity,FordB,0.6172839506172839
SAX,cosine_similarity,FreezerRegularTrain,0.6691228070175439
SAX,cosine_similarity,FreezerSmallTrain,0.6428070175438596
SAX,cosine_similarity,Fungi,0.1505376344086021
SAX,cosine_similarity,GestureMidAirD1,0.2538461538461538
SAX,cosine_similarity,GestureMidAirD2,0.3307692307692307
SAX,cosine_similarity,GestureMidAirD3,0.1846153846153846
SAX,cosine_similarity,GesturePebbleZ1,0.2965116279069767
SAX,cosine_similarity,GesturePebbleZ2,0.2848101265822785
SAX,cosine_similarity,GunPoint,0.7066666666666667
SAX,cosine_similarity,GunPointAgeSpan,0.8291139240506329
SAX,cosine_similarity,GunPointMaleVersusFemale,0.8132911392405063
SAX,cosine_similarity,GunPointOldVersusYoung,0.7492063492063492
SAX,cosine_similarity,Ham,0.6095238095238096
SAX,cosine_similarity,HandOutlines,0.6405405405405405
SAX,cosine_similarity,Haptics,0.2987012987012987
SAX,cosine_similarity,Herring,0.625
SAX,cosine_similarity,HouseTwenty,0.907563025210084
SAX,cosine_similarity,InlineSkate,0.2345454545454545
SAX,cosine_similarity,InsectEPGRegularTrain,0.9196787148594378
SAX,cosine_similarity,InsectEPGSmallTrain,0.8514056224899599
SAX,cosine_similarity,InsectWingbeatSound,0.207070707070707
SAX,cosine_similarity,ItalyPowerDemand,0.9105928085519922
SAX,cosine_similarity,LargeKitchenAppliances,0.5866666666666667
SAX,cosine_similarity,Lightning2,0.5081967213114754
SAX,cosine_similarity,Lightning7,0.3835616438356164
SAX,cosine_similarity,Mallat,0.4660980810234542
SAX,cosine_similarity,Meat,0.8
SAX,cosine_similarity,MedicalImages,0.5144736842105263
SAX,cosine_similarity,MelbournePedestrian,0.6994669946699467
SAX,cosine_similarity,MiddlePhalanxOutlineAgeGroup,0.461038961038961
SAX,cosine_similarity,MiddlePhalanxOutlineCorrect,0.5876288659793815
SAX,cosine_similarity,MiddlePhalanxTW,0.4155844155844156
SAX,cosine_similarity,MixedShapesRegularTrain,0.6441237113402062
SAX,cosine_similarity,MixedShapesSmallTrain,0.603298969072165
SAX,cosine_similarity,MoteStrain,0.8522364217252396
SAX,cosine_similarity,NonInvasiveFetalECGThorax1,0.1465648854961832
SAX,cosine_similarity,NonInvasiveFetalECGThorax2,0.1872773536895674
SAX,cosine_similarity,OliveOil,0.7333333333333333
SAX,cosine_similarity,OSULeaf,0.5909090909090909
SAX,cosine_similarity,PhalangesOutlinesCorrect,0.6375291375291375
SAX,cosine_similarity,Phoneme,0.2088607594936709
SAX,cosine_similarity,PickupGestureWiimoteZ,0.26
SAX,cosine_similarity,PigAirwayPressure,0.1875
SAX,cosine_similarity,PigArtPressure,0.7548076923076923
SAX,cosine_similarity,PigCVP,0.5384615384615384
SAX,cosine_similarity,PLAID,0.521415270018622
SAX,cosine_similarity,Plane,0.9333333333333332
SAX,cosine_similarity,PowerCons,0.7722222222222223
SAX,cosine_similarity,ProximalPhalanxOutlineAgeGroup,0.751219512195122
SAX,cosine_similarity,ProximalPhalanxOutlineCorrect,0.738831615120275
SAX,cosine_similarity,ProximalPhalanxTW,0.6682926829268293
SAX,cosine_similarity,RefrigerationDevices,0.5306666666666666
SAX,cosine_similarity,Rock,0.72
SAX,cosine_similarity,ScreenType,0.4453333333333333
SAX,cosine_similarity,SemgHandGenderCh2,0.5866666666666667
SAX,cosine_similarity,SemgHandMovementCh2,0.2
SAX,cosine_similarity,SemgHandSubjectCh2,0.2555555555555555
SAX,cosine_similarity,ShakeGestureWiimoteZ,0.62
SAX,cosine_similarity,ShapeletSim,0.9722222222222222
SAX,cosine_similarity,ShapesAll,0.335
SAX,cosine_similarity,SmallKitchenAppliances,0.688
SAX,cosine_similarity,SmoothSubspace,0.6133333333333333
SAX,cosine_similarity,SonyAIBORobotSurface1,0.7021630615640599
SAX,cosine_similarity,SonyAIBORobotSurface2,0.8551941238195173
SAX,cosine_similarity,StarLightCurves,0.7382224380767363
SAX,cosine_similarity,Strawberry,0.8648648648648649
